fileName,active,churn,churnWithRename,diff(churnWR-churn)
pyramid/__init__.py,1,7,7,0
pyramid/asset.py,0,0,0,0
pyramid/authentication.py,1,130,130,0
pyramid/authorization.py,1,23,23,0
pyramid/chameleon_text.py,0,0,0,0
pyramid/chameleon_zpt.py,0,0,0,0
pyramid/compat.py,1,8,8,0
pyramid/config.py,1,1374,1374,0
pyramid/configuration.py,0,0,0,0
pyramid/decorator.py,0,0,0,0
pyramid/encode.py,1,12,12,0
pyramid/events.py,1,51,51,0
pyramid/exceptions.py,1,2663,2663,0
pyramid/fixers/__init__.py,0,0,0,0
pyramid/fixers/fix_bfg_imports.py,0,0,0,0
pyramid/httpexceptions.py,1,1273,1273,0
pyramid/i18n.py,1,73,73,0
pyramid/interfaces.py,1,376,376,0
pyramid/location.py,0,0,0,0
pyramid/log.py,0,0,0,0
pyramid/mako_templating.py,1,10,10,0
pyramid/paster.py,1,1019,1019,0
pyramid/path.py,0,0,0,0
pyramid/registry.py,1,28,28,0
pyramid/renderers.py,1,225,225,0
pyramid/request.py,1,678,678,0
pyramid/resource.py,0,0,0,0
pyramid/response.py,1,1903,1903,0
pyramid/router.py,1,154,154,0
pyramid/scaffolds/__init__.py,1,42,42,0
pyramid/scaffolds/alchemy/+package+/models.py,1,86,27,-59
pyramid/scaffolds/routesalchemy/+package+/models.py,1,44,2,-42
pyramid/scaffolds/starter/+package+/resources.py,1,3,0,-3
pyramid/scaffolds/zodb/+package+/models.py,1,12,0,-12
pyramid/scripting.py,1,197,197,0
pyramid/security.py,1,28,28,0
pyramid/session.py,1,34,34,0
pyramid/settings.py,1,9,9,0
pyramid/static.py,1,195,195,0
pyramid/threadlocal.py,0,0,0,0
pyramid/traversal.py,1,39,39,0
pyramid/url.py,1,46,46,0
pyramid/urldispatch.py,1,100,100,0
pyramid/util.py,1,78,78,0
pyramid/view.py,1,231,231,0
pyramid/wsgi.py,1,68,68,0
