v0,v1,kind,nf,naf,paf,pfr,pafr
init,1.390,init,795,795,100.0,9.55,9.55
1.390,1.400,minor,825,236,28.6,0.84,2.96
1.400,1.410,minor,824,153,18.56,0.0,0.0
1.410,1.420,minor,843,354,41.99,0.23,0.56
1.420,1.430,minor,814,190,23.34,1.22,5.26
1.430,1.440,minor,818,126,15.4,0.0,0.0
1.440,1.450,minor,838,142,16.94,0.0,0.0
1.450,1.460,minor,861,140,16.26,0.0,0.0
1.460,1.470,minor,869,101,11.62,0.11,0.99
1.470,1.480,minor,886,114,12.86,0.45,3.5
1.480,1.490,minor,909,124,13.64,0.33,2.41
1.490,1.500,minor,922,130,14.09,0.86,6.15
1.500,1.510,minor,933,114,12.21,0.1,0.87
1.510,1.520,minor,948,174,18.35,0.0,0.0
1.520,1.530,minor,962,191,19.85,0.0,0.0
1.530,1.540,minor,895,129,14.41,0.0,0.0
1.540,1.550,minor,904,159,17.58,0.0,0.0
