Name,Type,# of files,# of active files,% of active files,% of files renamed,% of active files renamed,
origin/1.0-book,MAINT,168,2,1.19,0.0,0.0,
origin/1.0-branch,MAINT,168,15,8.92,0.0,0.0,
origin/1.1-branch,MAINT,189,19,10.05,0.0,0.0,
origin/1.2-branch,MAINT,229,35,15.28,0.0,0.0,
origin/1.3-branch,MAINT,265,14,5.28,0.0,0.0,
origin/1.3-branch-sphinx-fixes,MAINT,265,13,4.9,0.0,0.0,
origin/1.4-branch,MAINT,267,26,9.73,0.0,0.0,
origin/1.5-branch,MAINT,381,2,0.52,0.0,0.0,
before first release tag,INIT,168,168,100.0,55.95,55.95,
1.0,DEV,189,122,64.55,2.64,4.09,
1.1,DEV,229,169,73.79,17.9,24.26,
1.2,DEV,265,199,75.09,3.01,4.02,
1.3,DEV,267,162,60.67,0.0,0.0,
1.4,DEV,381,262,68.76,0.0,0.0,
1.5(last release !),DEV,381,1,0.26,0.0,0.0,
