Name,Type,# of files,# of active files,% of active files,% of files renamed,% of active files renamed,
origin/1-2-stable,MAINT,361,146,40.44,0.0,0.0,
origin/2-0-stable,MAINT,381,68,17.84,0.0,0.0,
origin/2-1-stable,MAINT,442,118,26.69,0.22,0.84,
origin/2-2-stable,MAINT,470,67,14.25,0.0,0.0,
origin/2-3-stable,MAINT,512,260,50.78,0.0,0.0,
origin/3-0-stable,MAINT,575,307,53.39,0.0,0.0,
origin/3-1-stable,MAINT,638,266,41.69,0.15,0.37,
origin/3-2-stable,MAINT,686,297,43.29,0.0,0.0,
origin/4-0-stable,MAINT,734,255,34.74,0.0,0.0,
origin/4-1-stable,MAINT,756,102,13.49,0.0,0.0,
origin/adequaterecord,MAINT,759,17,2.23,0.0,0.0,
origin/async,MAINT,684,2,0.29,0.0,0.0,
origin/fxn/string-pools,MAINT,751,109,14.51,0.0,0.0,
origin/jobs,MAINT,750,10,1.33,0.0,0.0,
before first release tag,INIT,170,170,100.0,26.47,26.47,
0.10.0,DEV,180,101,56.11,2.22,3.96,
0.11.0,DEV,192,93,48.43,0.0,0.0,
0.12.0,DEV,217,123,56.68,0.0,0.0,
0.13.0,DEV,312,253,81.08,8.33,10.27,
1.1.0,DEV,373,335,89.81,5.09,5.67,
2.0.0,DEV,436,298,68.34,0.45,0.67,
2.1.0,DEV,467,286,61.24,0.42,0.69,
2.2.0,DEV,482,257,53.31,0.2,0.38,
2.3.0,DEV,570,565,99.12,26.49,26.72,
3.0.0_RC,DEV,630,503,79.84,1.11,1.39,
3.1.0.rc1,DEV,684,451,65.93,0.14,0.22,
3.2.0.rc1,DEV,734,689,93.86,4.9,5.22,
4.0.0.rc1(last release !),DEV,759,571,75.23,14.09,18.73,
origin/rework_initialization,MAINT,728,42,5.76,0.0,0.0,
