fileName,active,#commits,#commitsWithRename,diff(#commitsWR-#commits)
pyramid/__init__.py,1,1,1,0
pyramid/asset.py,0,0,0,0
pyramid/authentication.py,1,7,7,0
pyramid/authorization.py,1,2,2,0
pyramid/chameleon_text.py,0,0,0,0
pyramid/chameleon_zpt.py,0,0,0,0
pyramid/compat.py,1,1,1,0
pyramid/config.py,1,67,67,0
pyramid/configuration.py,0,0,0,0
pyramid/decorator.py,0,0,0,0
pyramid/encode.py,1,2,2,0
pyramid/events.py,1,3,3,0
pyramid/exceptions.py,1,16,16,0
pyramid/fixers/__init__.py,0,0,0,0
pyramid/fixers/fix_bfg_imports.py,0,0,0,0
pyramid/httpexceptions.py,1,10,10,0
pyramid/i18n.py,1,4,4,0
pyramid/interfaces.py,1,13,13,0
pyramid/location.py,0,0,0,0
pyramid/log.py,0,0,0,0
pyramid/mako_templating.py,1,2,2,0
pyramid/paster.py,1,28,28,0
pyramid/path.py,0,0,0,0
pyramid/registry.py,1,4,4,0
pyramid/renderers.py,1,9,9,0
pyramid/request.py,1,20,20,0
pyramid/resource.py,0,0,0,0
pyramid/response.py,1,5,5,0
pyramid/router.py,1,13,13,0
pyramid/scaffolds/__init__.py,1,1,1,0
pyramid/scaffolds/alchemy/+package+/models.py,1,2,3,1
pyramid/scaffolds/routesalchemy/+package+/models.py,1,2,2,0
pyramid/scaffolds/starter/+package+/resources.py,1,1,1,0
pyramid/scaffolds/zodb/+package+/models.py,1,1,1,0
pyramid/scripting.py,1,8,8,0
pyramid/security.py,1,1,1,0
pyramid/session.py,1,3,3,0
pyramid/settings.py,1,2,2,0
pyramid/static.py,1,10,10,0
pyramid/threadlocal.py,0,0,0,0
pyramid/traversal.py,1,6,6,0
pyramid/url.py,1,7,7,0
pyramid/urldispatch.py,1,9,9,0
pyramid/util.py,1,4,4,0
pyramid/view.py,1,16,16,0
pyramid/wsgi.py,1,7,7,0
