Name,Type,# of files,# of active files,% of active files,# of modifications,# of renames,% of renames,% of files renamed,% of active files renamed,
origin/1-2-stable,MAINT,1101,308,27.97,1088,2,0.18,0.18,0.64,
origin/2-0-stable,MAINT,1181,159,13.46,280,28,10.0,2.37,17.61,
origin/2-1-stable,MAINT,1432,385,26.88,1065,406,38.12,9.56,35.58,
origin/2-2-stable,MAINT,1690,308,18.22,426,140,32.86,8.28,45.45,
origin/2-3-stable,MAINT,1935,708,36.58,3083,242,7.84,5.47,14.97,
origin/3-0-stable,MAINT,2028,888,43.78,3733,2,0.05,0.09,0.22,
origin/3-1-stable,MAINT,2223,709,31.89,3241,6,0.18,0.26,0.84,
origin/3-2-stable,MAINT,2432,696,28.61,3104,1,0.03,0.04,0.14,
origin/4-0-stable,MAINT,2566,602,23.46,1769,1,0.05,0.03,0.16,
origin/4-1-stable,MAINT,2764,242,8.75,569,0,0.0,0.0,0.0,
origin/adequaterecord,MAINT,2772,28,1.01,83,0,0.0,0.0,0.0,
origin/async,MAINT,2420,3,0.12,15,0,0.0,0.0,0.0,
origin/attributes_perf,MAINT,2480,3,0.12,3,0,0.0,0.0,0.0,
origin/ca-fix-mailer-generators,MAINT,2753,3,0.1,4,0,0.0,0.0,0.0,
origin/cat-gemfile-test,MAINT,2390,1,0.04,1,0,0.0,0.0,0.0,
origin/deps_refactor,MAINT,1943,2,0.1,3,0,0.0,0.0,0.0,
origin/encoding,MAINT,1892,0,0,0,0,0,0,0,
origin/fewer_strings,MAINT,2713,12,0.44,12,0,0.0,0.0,0.0,
origin/fix-rbx-on-travis,MAINT,2731,1,0.03,3,0,0.0,0.0,0.0,
origin/fix_ci,MAINT,2456,2,0.08,69,0,0.0,0.0,0.0,
origin/fxn/string-pools,MAINT,2748,117,4.25,273,0,0.0,0.0,0.0,
origin/inflector-with-lru-cache,MAINT,2553,5,0.19,13,0,0.0,0.0,0.0,
origin/jobs,MAINT,2756,26,0.94,29,0,0.0,0.0,0.0,
origin/json_cookie_serializer_improvements,MAINT,2742,0,0,0,0,0,0,0,
before first release tag,INIT,492,492,100.0,2548,136,5.33,18.9,18.9,
v0.10.0,DEV,543,247,45.48,695,6,0.86,1.1,2.42,
v0.11.0,DEV,570,222,38.94,757,2,0.26,0.35,0.9,
v0.12.0,DEV,649,332,51.15,1296,4,0.3,0.61,1.2,
v0.13.0,DEV,924,686,74.24,5087,76,1.49,5.84,7.87,
v1.1.0,DEV,1168,975,83.47,8623,109,1.26,7.27,8.71,
v2.0.0,DEV,1414,941,66.54,3730,241,6.46,10.96,16.47,
v2.1.0,DEV,1661,901,54.24,3529,395,11.19,13.96,25.74,
v2.2.0,DEV,1769,822,46.46,2459,151,6.14,8.47,18.24,
v2.3.0,DEV,1938,1558,80.39,25069,2421,9.65,26.47,32.92,
v3.0.0_RC,DEV,2205,1378,62.49,10452,61,0.58,2.26,3.62,
v3.1.0.rc1,DEV,2365,1118,47.27,6016,15,0.24,0.5,1.07,
v3.2.0.rc1,DEV,2550,1860,72.94,18567,385,2.07,11.33,15.53,
v4.0.0.rc1(last release !),DEV,2772,1690,60.96,8690,261,3.0,8.54,14.02,
origin/opt_routes,MAINT,2412,0,0,0,0,0,0,0,
origin/relation_subclasses,MAINT,2486,5,0.2,5,0,0.0,0.0,0.0,
origin/remove-deprecated-finders-support,MAINT,2722,13,0.47,13,0,0.0,0.0,0.0,
origin/rework_initialization,MAINT,2719,235,8.64,451,0,0.0,0.0,0.0,
origin/schema-migrations-metadata,MAINT,2479,0,0,0,0,0,0,0,
origin/serializers,MAINT,2331,0,0,0,0,0,0,0,
origin/support-deprecated-finders,MAINT,2722,0,0,0,0,0,0,0,
origin/tagged-docs,MAINT,2706,1,0.03,1,0,0.0,0.0,0.0,
origin/test_equality_operators_return_values,MAINT,2767,1,0.03,2,0,0.0,0.0,0.0,
