fileName,active,churn,churnWithRename,diff(churnWR-churn)
build/phar-manifest.php,1,105,105,0
build/phar-version.php,1,24,24,0
src/Exception.php,1,63,71,8
src/Extensions/GroupTestSuite.php,1,101,15,-86
src/Extensions/PhptTestCase.php,1,403,382,-21
src/Extensions/PhptTestSuite.php,1,88,19,-69
src/Extensions/RepeatedTest.php,1,167,51,-116
src/Extensions/TestDecorator.php,1,159,23,-136
src/Extensions/TicketListener.php,1,306,99,-207
src/Framework/Assert.php,1,3767,1430,-2337
src/Framework/Assert/Functions.php,1,2523,999,-1524
src/Framework/AssertionFailedError.php,1,68,13,-55
src/Framework/BaseTestListener.php,1,82,92,10
src/Framework/CodeCoverageException.php,1,61,69,8
src/Framework/Comparator.php,1,132,48,-84
src/Framework/Comparator/Array.php,1,217,77,-140
src/Framework/Comparator/DateTime.php,1,154,172,18
src/Framework/Comparator/DOMNode.php,1,170,87,-83
src/Framework/Comparator/Double.php,1,127,39,-88
src/Framework/Comparator/Exception.php,1,96,17,-79
src/Framework/Comparator/MockObject.php,1,90,21,-69
src/Framework/Comparator/Numeric.php,1,143,62,-81
src/Framework/Comparator/Object.php,1,190,94,-96
src/Framework/Comparator/Resource.php,1,123,43,-80
src/Framework/Comparator/Scalar.php,1,176,61,-115
src/Framework/Comparator/SplObjectStorage.php,1,144,51,-93
src/Framework/Comparator/Type.php,1,135,45,-90
src/Framework/ComparatorFactory.php,1,171,30,-141
src/Framework/ComparisonFailure.php,1,186,45,-141
src/Framework/Constraint.php,1,228,65,-163
src/Framework/Constraint/And.php,1,190,41,-149
src/Framework/Constraint/ArrayHasKey.php,1,133,38,-95
src/Framework/Constraint/Attribute.php,1,147,31,-116
src/Framework/Constraint/Callback.php,1,149,72,-77
src/Framework/Constraint/ClassHasAttribute.php,1,133,22,-111
src/Framework/Constraint/ClassHasStaticAttribute.php,1,106,21,-85
src/Framework/Constraint/Composite.php,1,135,34,-101
src/Framework/Constraint/Count.php,1,144,31,-113
src/Framework/Constraint/Exception.php,1,142,30,-112
src/Framework/Constraint/ExceptionCode.php,1,118,26,-92
src/Framework/Constraint/ExceptionMessage.php,1,118,22,-96
src/Framework/Constraint/FileExists.php,1,110,21,-89
src/Framework/Constraint/GreaterThan.php,1,103,22,-81
src/Framework/Constraint/IsAnything.php,1,120,31,-89
src/Framework/Constraint/IsEmpty.php,1,116,25,-91
src/Framework/Constraint/IsEqual.php,1,260,60,-200
src/Framework/Constraint/IsFalse.php,1,92,23,-69
src/Framework/Constraint/IsIdentical.php,1,198,45,-153
src/Framework/Constraint/IsInstanceOf.php,1,145,49,-96
src/Framework/Constraint/IsJson.php,1,121,135,14
src/Framework/Constraint/IsNull.php,1,92,23,-69
src/Framework/Constraint/IsTrue.php,1,92,23,-69
src/Framework/Constraint/IsType.php,1,228,51,-177
src/Framework/Constraint/JsonMatches.php,1,121,48,-73
src/Framework/Constraint/JsonMatches/ErrorMessageProvider.php,1,111,36,-75
src/Framework/Constraint/LessThan.php,1,103,22,-81
src/Framework/Constraint/Not.php,1,225,35,-190
src/Framework/Constraint/ObjectHasAttribute.php,1,83,19,-64
src/Framework/Constraint/Or.php,1,181,39,-142
src/Framework/Constraint/PCREMatch.php,1,112,20,-92
src/Framework/Constraint/SameSize.php,1,73,16,-57
src/Framework/Constraint/StringContains.php,1,136,27,-109
src/Framework/Constraint/StringEndsWith.php,1,103,20,-83
src/Framework/Constraint/StringMatches.php,1,147,40,-107
src/Framework/Constraint/StringStartsWith.php,1,103,20,-83
src/Framework/Constraint/TraversableContains.php,1,192,71,-121
src/Framework/Constraint/TraversableContainsOnly.php,1,160,40,-120
src/Framework/Constraint/Xor.php,1,188,41,-147
src/Framework/Error.php,1,87,25,-62
src/Framework/Error/Deprecated.php,1,69,17,-52
src/Framework/Error/Notice.php,1,69,17,-52
src/Framework/Error/Warning.php,1,69,17,-52
src/Framework/Exception.php,1,57,17,-40
src/Framework/ExpectationFailedException.php,1,84,15,-69
src/Framework/IncompleteTest.php,1,60,13,-47
src/Framework/IncompleteTestError.php,1,60,13,-47
src/Framework/InvalidCoversTargetError.php,1,64,72,8
src/Framework/InvalidCoversTargetException.php,1,61,69,8
src/Framework/OutputError.php,1,60,13,-47
src/Framework/RiskyTest.php,1,64,72,8
src/Framework/RiskyTestError.php,1,64,72,8
src/Framework/SelfDescribing.php,1,65,13,-52
src/Framework/SkippedTest.php,1,59,13,-46
src/Framework/SkippedTestError.php,1,60,13,-47
src/Framework/SkippedTestSuiteError.php,1,60,13,-47
src/Framework/SyntheticError.php,1,121,13,-108
src/Framework/Test.php,1,68,15,-53
src/Framework/TestCase.php,1,2385,804,-1581
src/Framework/TestFailure.php,1,193,31,-162
src/Framework/TestListener.php,1,178,69,-109
