name,kind,nf,naf,paf,pfr,pafr
init $\triangleright$ 3.5,INIT,130,130,100.0,60.76,60.76
3.5 $\triangleright$ 3.6,DEV,121,121,100.0,4.13,4.13
3.6 $\triangleright$ 3.7,DEV,124,124,100.0,0.8,0.8
3.7 $\triangleright$ 4.0,DEV,135,135,100.0,98.51,98.51
1.3,MAINT,13,13,100.0,0.0,0.0
2.3,MAINT,46,46,100.0,0.0,0.0
3.0,MAINT,206,206,100.0,0.0,0.0
3.1,MAINT,194,16,8.24,0.0,0.0
3.2,MAINT,285,170,59.64,0.0,0.0
3.3,MAINT,342,330,96.49,0.58,0.6
3.4,MAINT,395,0,0.0,0.0,0
3.5,MAINT,124,0,0.0,0.0,0
3.6,MAINT,126,0,0.0,0.0,0
3.7,MAINT,125,1,0.8,0.0,0.0
4.0,MAINT,135,1,0.74,0.0,0.0
4.1,MAINT,120,0,0.0,0.0,0
