name,kind,nf,naf,paf,pfr,pafr
init $\triangleright$ 0.10,INIT,170,170,100.0,26.47,26.47
0.10 $\triangleright$ 0.11,DEV,180,101,56.11,2.22,3.96
0.11 $\triangleright$ 0.12,DEV,192,93,48.43,0.0,0.0
0.12 $\triangleright$ 0.13,DEV,217,123,56.68,0.0,0.0
0.13 $\triangleright$ 1.1,DEV,312,253,81.08,8.33,10.27
1.1 $\triangleright$ 2.0,DEV,373,335,89.81,5.09,5.67
2.0 $\triangleright$ 2.1,DEV,436,298,68.34,0.45,0.67
2.1 $\triangleright$ 2.2,DEV,467,284,60.81,0.42,0.7
2.2 $\triangleright$ 2.3,DEV,482,257,53.31,0.2,0.38
2.3 $\triangleright$ 3.0,DEV,570,565,99.12,26.49,26.72
3.0 $\triangleright$ 3.1,DEV,630,503,79.84,1.11,1.39
3.1 $\triangleright$ 3.2,DEV,684,451,65.93,0.14,0.22
3.2 $\triangleright$ 4.0,DEV,734,689,93.86,4.9,5.22
1.2,MAINT,361,146,40.44,0.0,0.0
2.0,MAINT,381,68,17.84,0.0,0.0
2.1,MAINT,442,118,26.69,0.22,0.84
2.2,MAINT,470,67,14.25,0.0,0.0
2.3,MAINT,512,260,50.78,0.0,0.0
3.0,MAINT,575,307,53.39,0.0,0.0
3.1,MAINT,638,266,41.69,0.15,0.37
3.2,MAINT,686,297,43.29,0.0,0.0
4.0,MAINT,734,255,34.74,0.0,0.0
4.1,MAINT,756,117,15.47,0.0,0.0
